states,year,quarter,trans_type,trans_counts,amount,brand,user_counts,percentage,level
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829,Samsung,2409.0,0.198287924932093,state_aggregated
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829,Vivo,2063.0,0.169808214667873,state_aggregated
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829,Oppo,988.0,0.081323565725574,state_aggregated
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829,OnePlus,617.0,0.050786072927812,state_aggregated
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829,Realme,603.0,0.049633714709029,state_aggregated
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829,Motorola,390.0,0.032101407523252,state_aggregated
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829,Apple,371.0,0.030537492797761,state_aggregated
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829,Huawei,314.0,0.025845748621285,state_aggregated
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829,Lenovo,299.0,0.02461107910116,state_aggregated
andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868377829,Others,1145.0,0.094246440036216,state_aggregated
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.54163504,Xiaomi,2950.0,0.242818338957938,state_aggregated
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.54163504,Samsung,2409.0,0.198287924932093,state_aggregated
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.54163504,Vivo,2063.0,0.169808214667873,state_aggregated
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.54163504,Oppo,988.0,0.081323565725574,state_aggregated
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.54163504,OnePlus,617.0,0.050786072927812,state_aggregated
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.54163504,Realme,603.0,0.049633714709029,state_aggregated
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.54163504,Motorola,390.0,0.032101407523252,state_aggregated
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.54163504,Apple,371.0,0.030537492797761,state_aggregated
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.54163504,Huawei,314.0,0.025845748621285,state_aggregated
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.54163504,Lenovo,299.0,0.02461107910116,state_aggregated
andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.54163504,Others,1145.0,0.094246440036216,state_aggregated
andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043,Xiaomi,2950.0,0.242818338957938,state_aggregated
andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043,Samsung,2409.0,0.198287924932093,state_aggregated
andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043,Vivo,2063.0,0.169808214667873,state_aggregated
andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043,Oppo,988.0,0.081323565725574,state_aggregated
andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043,OnePlus,617.0,0.050786072927812,state_aggregated
andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043,Realme,603.0,0.049633714709029,state_aggregated
andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043,Motorola,390.0,0.032101407523252,state_aggregated
andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043,Apple,371.0,0.030537492797761,state_aggregated
andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043,Huawei,314.0,0.025845748621285,state_aggregated
andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043,Lenovo,299.0,0.02461107910116,state_aggregated
andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.8394868043,Others,1145.0,0.094246440036216,state_aggregated
andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806483,Xiaomi,2950.0,0.242818338957938,state_aggregated
andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806483,Samsung,2409.0,0.198287924932093,state_aggregated
andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806483,Vivo,2063.0,0.169808214667873,state_aggregated
andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806483,Oppo,988.0,0.081323565725574,state_aggregated
andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806483,OnePlus,617.0,0.050786072927812,state_aggregated
andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806483,Realme,603.0,0.049633714709029,state_aggregated
andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806483,Motorola,390.0,0.032101407523252,state_aggregated
andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806483,Apple,371.0,0.030537492797761,state_aggregated
andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806483,Huawei,314.0,0.025845748621285,state_aggregated
andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806483,Lenovo,299.0,0.02461107910116,state_aggregated
andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.4907042806483,Others,1145.0,0.094246440036216,state_aggregated
andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323,Xiaomi,2950.0,0.242818338957938,state_aggregated
andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323,Samsung,2409.0,0.198287924932093,state_aggregated
andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323,Vivo,2063.0,0.169808214667873,state_aggregated
andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323,Oppo,988.0,0.081323565725574,state_aggregated
andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323,OnePlus,617.0,0.050786072927812,state_aggregated
andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323,Realme,603.0,0.049633714709029,state_aggregated
andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323,Motorola,390.0,0.032101407523252,state_aggregated
andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323,Apple,371.0,0.030537492797761,state_aggregated
andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323,Huawei,314.0,0.025845748621285,state_aggregated
andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323,Lenovo,299.0,0.02461107910116,state_aggregated
andaman-&-nicobar-islands,2018,3,Others,194,314343.39410715323,Others,1145.0,0.094246440036216,state_aggregated
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375,Xiaomi,3719.0,0.244317435291026,state_aggregated
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375,Samsung,2936.0,0.192878728156615,state_aggregated
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375,Vivo,2742.0,0.180134016554986,state_aggregated
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375,Oppo,1268.0,0.083300486138483,state_aggregated
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375,Realme,760.0,0.04992773617133,state_aggregated
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375,OnePlus,721.0,0.047365654973065,state_aggregated
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375,Motorola,474.0,0.031139140717382,state_aggregated
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375,Apple,455.0,0.029890947313099,state_aggregated
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375,Huawei,398.0,0.026146367100249,state_aggregated
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375,Lenovo,377.0,0.024766784916568,state_aggregated
andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512294375,Others,1372.0,0.090132702667192,state_aggregated
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,Xiaomi,3719.0,0.244317435291026,state_aggregated
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,Samsung,2936.0,0.192878728156615,state_aggregated
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,Vivo,2742.0,0.180134016554986,state_aggregated
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,Oppo,1268.0,0.083300486138483,state_aggregated
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,Realme,760.0,0.04992773617133,state_aggregated
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,OnePlus,721.0,0.047365654973065,state_aggregated
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,Motorola,474.0,0.031139140717382,state_aggregated
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,Apple,455.0,0.029890947313099,state_aggregated
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,Huawei,398.0,0.026146367100249,state_aggregated
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,Lenovo,377.0,0.024766784916568,state_aggregated
andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,Others,1372.0,0.090132702667192,state_aggregated
andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656,Xiaomi,3719.0,0.244317435291026,state_aggregated
andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656,Samsung,2936.0,0.192878728156615,state_aggregated
andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656,Vivo,2742.0,0.180134016554986,state_aggregated
andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656,Oppo,1268.0,0.083300486138483,state_aggregated
andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656,Realme,760.0,0.04992773617133,state_aggregated
andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656,OnePlus,721.0,0.047365654973065,state_aggregated
andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656,Motorola,474.0,0.031139140717382,state_aggregated
andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656,Apple,455.0,0.029890947313099,state_aggregated
andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656,Huawei,398.0,0.026146367100249,state_aggregated
andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656,Lenovo,377.0,0.024766784916568,state_aggregated
andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735492656,Others,1372.0,0.090132702667192,state_aggregated
andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286,Xiaomi,3719.0,0.244317435291026,state_aggregated
andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286,Samsung,2936.0,0.192878728156615,state_aggregated
andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286,Vivo,2742.0,0.180134016554986,state_aggregated
andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286,Oppo,1268.0,0.083300486138483,state_aggregated
andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286,Realme,760.0,0.04992773617133,state_aggregated
andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286,OnePlus,721.0,0.047365654973065,state_aggregated
andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286,Motorola,474.0,0.031139140717382,state_aggregated
andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286,Apple,455.0,0.029890947313099,state_aggregated
andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286,Huawei,398.0,0.026146367100249,state_aggregated
andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286,Lenovo,377.0,0.024766784916568,state_aggregated
andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.7877393286,Others,1372.0,0.090132702667192,state_aggregated
andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435,Xiaomi,3719.0,0.244317435291026,state_aggregated
andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435,Samsung,2936.0,0.192878728156615,state_aggregated
andaman-&-nicobar-islands,2018,4,Others,340,468266.0606770435,Vivo,2742.0,0.180134016554986,state_aggregated
